,appln_id,appln_abstract_lg,appln_abstract
10,35952592,en,"PROBLEM TO BE SOLVED: To surely eliminate large variations to be normally impressed on an actuator by executing A/D conversion of divided TE signal obtained by bisecting a TE (a tracking error) signal by respective A/D converters. SOLUTION: A divided TE signal to be inputted to a proportion circuit 20F1 and an integration circuit 20F2 in which the influence of the resolution and the quantization error of an A/D converter are small and a signal processing is required to be performed by using even the DC component of a TE signal to be inputted and which constitute a DSP 20F is supplied to an LPF 20A. Then, the unwanted component of a high frequency range is eliminated in this filter and then proportion and integration operations are performed by using a divided digital TE obtained by executing the A/D conversion of the divided TE signal by an A/D converter 20 D. Besides, a divided TE signal to be inputted to a differentiation circuit F3 in which influences of the resolution and the quantization error of an A/D converter appear strongly and which constitutes the DSF 20F is supplied to an HPF 20B and the unwanted component of a low frequency range is eliminated in the filter. Then, this signal is amplified in an amplifier 20C and a differentiation operation is performed in a differentiation circuit 20F3 by using a divided digital TE signal obtained by executing the A/D conversion of the divided TE signal by an A/D converter 20E."
11,35952593,en,"PROBLEM TO BE SOLVED: To suppress a noise emitted, which is caused by meshing failure between gears from being transmitted to a housing or a camshaft. SOLUTION: A valve timing changing mechanism 11 is supported in a cantilevered way at one end of a camshaft 12 together with a driven gear 22 mounted in the valve timing changing mechanism 11, and besides, supported in a way that the centroid thereof is separated from a bearing part 17a, therefore the inclination of the camshaft 12 is increased and centrifugal whirling at the time of rotation occurs. Then, the centrifugal whirling of both camshaft 12 and driven gear 22 bring about meshing failure between the driven gear 22 and a drive gear 24 so as to emit a noise, and this noise is transmitted to a housing 28 and the camshaft 12 so that the increase of the noise due to resonation may occur. Here, vibration isolating rubbers 71, 72 are respectively interposed between the housing 28 and the driven gear 22 and between the camshaft 12 and the driven gear 22, thereby the transmission of this noise is suppressed."
12,35952594,en,"PROBLEM TO BE SOLVED: To provide a fixing device which correctly detect the temperature of the both end parts and the central part of the periphery of a fixing body with respect to its axial direction, irrespective of the sizes of supplied transfer material, during consecutive fixing to the transfer materials, and an image forming device equipped with the fixing device. SOLUTION: In addition to a thermister heat-sensitive detection sensor 105 for detecting the temperature of the end parts of the fixing roller 101 with respect to its axial direction, a thermister heat-sensitive detection sensor 11 is provided for detecting the temperature of the central part of the periphery of the fixing roller 101 with respect to its axial direction. They are set so that over a period of time that one or both heaters 103 and 104, which are different in light distribution in the axial direction of the fixing roller 101, heat the fixing roller 101, the thermister heat-sensitive detection sensor 105 detects the temperature of the end parts and also the thermister heat-sensitive detection sensor 11 detects the temperature of the central part."
13,35952595,en,"PROBLEM TO BE SOLVED: To eliminate display chrominance nonuniformity due to the change of surrounding temperature in use from an ordinary temperature atmosphere to a high temperature atmosphere. SOLUTION: A cell gap, being thickness of a liquid crystal layer, is designed to gradually get thicker from the central part of the displaying region toward the end part of the displaying region to prevent display chrominance nonuniformity due to differences in thermal expansion of materials constituting a liquid crystal display device at the upper limit temperature of its operational temperature range within a range in which no display chrominance nonuniformity appears under ordinary temperature surroundings. Expressed in another way, an insulating substrate 1 has a conical shape and a pair of the insulating substrates 1 is stuck together so as to place the conical projecting parts opposite to each other. As regards the liquid crystal display device formed in this way, in the case the operational surrounding temperature is raised, a difference between the cell gap of the central part of the displaying region of a liquid crystal cell 6 and that of its end part is kept small because the cell gap of the liquid crystal cell 6 is formed so as to be thin at the central part of the displaying region under ordinary temperature."
14,35952596,en,"PURPOSE:To prevent an image carrier from deteriorating and to reuse recovery toner by fitting cleaning units as many as colors of toner to a rotating body, and operating them at prescribed points of time and recovering toner by the colors. CONSTITUTION:The cleaning units 5a-5c are each provided with a cleaning blade 10 which is pressed against a photosensitive body 1, a cleaning brush 9 at the upstream side in the running direction of the photosensitive body 1, and a means which conveys and recovers toner collected by them. Then, the cleaning brush 9 is operated for a prescribed time from the ending point of the operation of the cleaning blade 10 of the same cleaning unit. Consequently, linear toner banking on the surface of the photosensitive body 1 due to the presence of the cleaning blade 10 is prevented and the toner is recovered effectively; and there is no possibility of color mixing among toner particles and the toner is recovered in a reusable state."
15,35952597,en,"PURPOSE:To detect a period of time during which an overcurrent limitation works, by using a D-type FF receiving outputs of SRFF and PWM comparator, and a transistor which is turned ON and OFF by the output of the D-type FF. CONSTITUTION:When an output signal D of SRFF 4 is on a low level at the time of falling of an output signal E of a PWM comparator 7, an output signal G of a D-type FF 22 also is on a low level and causes the charging of a monitoring time setting capacitor 28 with a constant current from a constant current power source 24 through a transistor 25. After the charging is conducted for a certain period of time and the voltage of a terminal 27 reaches a reference voltage 29, an output signal I from a comparator 30 is transferred to a high level so that a latching circuit 31 operates and its output becomes a signal J. After that, when the overcurrent state is over, the signal G shifts to a high level to return to the initial state. In this manner, it is possible to decrease the numbers of external parts and the terminals of a switching regulator controlling IC."
16,35952598,en,"PURPOSE:To simplify positioning of a wafer and controllability of etching width of edge by retaining the wafer in vertical direction and rotating the wafer for etching the wafer edge. CONSTITUTION:By retaining a wafer 1 in vertical direction and immersing an orientation flat 2 within an etching liquid by the etching width, this part can be accurately etched. After the wafer 1 is taken out of the etching liquid 4, it is rotated at high speed and the adhered etching liquid is eliminated by centrifugal force. Then, by rotating a curved edge 6 immersing it within the etching liquid 4 by etching width, the curved etching part 6 can be accurately etched. Finally, by allowing the wafer 1 taken out of the etching liquid 4 to be rotated at high speed, the adhered etching liquid is eliminated. Thus, the orientation flat and etching of the curved edge of the water can be made freely and surely."
17,35952599,en,"PURPOSE:To obtain an electrolytic capacitor whose loss is low, whose electric characteristic is stable even at a high temperature and whose life is long by a method wherein a quaternary ammonium salt of a compound complex containing an alcoholic hydroxyl group of boric acid is used as a solute. CONSTITUTION:As a salt of one kind or two or more kinds selected from a group composed of tetravalent compounds of boron expressed by Formula I as a quaternary ammonium slat of a compound complex containing an alcoholic hydroxyl group of boric acid is used as a solute. In Formula I, the whole or one part of X is =B-O-R<->.Q<+> and one part of X may be >B-; Q<+> represents quaternary ammonium; R represents a hydroxyl group, an ether group, a ketone group and/or an alkyl group or an arylalkyl group which may contain an S-containing functional group; (n) represents an integer of 1 or more; R<n> represents 1) a residual group of a compound containing an alcoholic hydroxyl group, 2) a group expressed by -X-O-R or 3) a group expressed by Formula II; (m) is an integer of 1 or more; R' represents a residual group of a compound having two or more alcoholic hydroxyl groups; it is permissible to form a ring together with B after either one or both of R and R as well as R and R<n> have been bonded."
18,35952600,en,"PURPOSE:To prevent inductive current from flowing from an antenna to a case by providing a first conductor and a second conductor whose one end is connected with the case at a position which becomes a high impedance when viewed from the case being near the connecting position of a feeder with the ground conductor. CONSTITUTION:The first conductor 5 whose one end is connected with the ground conductor 7 of the feeder 6 being near the connecting part of the feeder 6 to the antenna 2 and which forms the ground wire of the antenna 2 and the second conductor 9 which is set between the first conductor 5 and the case 1, whose one end is connected with the case 1 at the position which becomes the high impedance when viewed from the case 1 being near the connecting position of the first conductor 5 and the ground conductor 7 of the feeder line 6 and which prevents the current from flowing from the ground conductor 7 of the feeder line 6 to the outside of the case 1 are provided. Therefore, the second conductor 9 forms what is called chalk structure and prevents the current from flowing from the ground conductor 7 of the feeder line 6 to the outside of the case 1. The first conductor 5 forms the perfect ground wire of the antenna 2 and resonates with the radiation conductor of the antenna 2. Thus, the inductive current from the antenna 2 is prevented from flowing to the outside of the case 1."
19,35952601,en,"PURPOSE:To provide an electrophotographic sensitive body with high sensitivity and durability. CONSTITUTION:A photosensitive layer containing an azo compound expressed by the formula I is formed on a conductive base member. In the formula I, R<1> represents a hydrogen atom, halogen atom, alkyl group, alkoxyl group, aryl group, amino group, cyano group, nitro group, sulfoxide group; and A a coupler residue having no donor property."
20,35952602,en,"PURPOSE:To shorten the time required for assembling a rotary magnetic head drum by decreasing the number of the head based to be mounted with magnetic head chips. CONSTITUTION:The head chip 4 for audio recording and reproducing and the head chip 3 for video erasing are adhered and fixed into one head base by preceding the head chip 4 for audio recording and reproducing with respect to the rotating direction arrow mark R of the rotary magnetic head drum. While 8 pieces of the head bases are required to be mounted to the conventional magnetic head drum, 6 pieces suffice as the head bases required to be mounted with the rotary magnetic head drum constituted in such a manner. The time required for assembling the magnetic head drum is thus shortened and the dealing with the increasingly multiple heads is possible."
21,35952603,en,"PURPOSE:To provide an anticarious fondant comprising xylitol as a main component and an amorphous saccharide as the remaining component and useful for breads, the decorated parts of cakes, etc. CONSTITUTION:A fondant comprises (A) xylitol as a main component preferably in an amount of <=80wt.%, and (B) an amorphous saccharide (e.g. starch syrup) as the remaining component. The calorie of the fondant is lower than those of conventional fondants."
22,35952604,en,"PURPOSE: To provide the frequency correction method of a digital control type oscillation circuit for improving frequency accuracy by obtaining the linear expression of a control voltage and a frequency deviation for each varactor diode used for temperature compensation and controlling the voltage. CONSTITUTION: In this frequency correction method of the digital control type oscillation circuit 60 for correcting the change of the resonance frequency of a crystal oscillator due to temperature change by adjusting the control voltage of the varactor diode and outputting a fixed frequency, frequency deviation characteristics for the control voltage are expressed by the linear expression of a straight line part including the point of (the frequency deviation) =0 for each varactor diode to be used beforehand and the linear coefficients and the temperature characteristics of the crystal oscillator are stored in a memory 67. The frequency deviation is calculated from the temperature characteristics of the crystal oscillator corresponding to a temperature detected by a temperature sensor 62, the control voltage of the varactor diode is obtained and outputted by the linear expression expressed by the linear coefficient and thus, an output frequency is controlled to a prescribed fixed frequency."
23,35952605,en,"PROBLEM TO BE SOLVED: To prevent the inner hole of a printed wiring board fitting member from being closed when the printed wiring board fitting member such as a single-pole connector is flow-soldered to a printed wiring board. SOLUTION: A cover piece 15 closing a fitting hole 12 for a single-pole connector 1 is formed in push-back at the portion where the fitting hole 12 is formed on a printed wiring board 11, and an inserting hole 14 for the single- pole connector 1 is formed around the cover piece 15. The terminal section 9 of the single-pole connector 1 is inserted into the inserting hole 14 and folded into contact with a land 13. The terminal section 9 of the single-pole connector 1 is flow-soldered to the printed wiring board 11, then the cover piece 15 is removed, and the fitting hole 12 is opened."
24,35952606,en,"PROBLEM TO BE SOLVED: To perform stably both sides continuous copying process by a through pass system with a simple control sequence and a simple control mechanism whatever the environment in by setting the number of sheets of supply papers of a transfer material per a prescribed time for a transfer region to a prescribed number of sheets of papers corresponding to the environment. SOLUTION: A temperature detecting element for detecting its surface temperature is provided on the peripheral surface of a fixing roller 115 abutting on it. When the temperature detecting element detects a value within the range of 180-200 deg.C at the time of both sides continuous copying, a control mechanism 104 judges that the device is in normal environment. And, the number of sheets of a transfer material supplied to a transfer region Z from supply cassettes 110, 111 per unit cycle is set to 5 sheets. Meanwhile, when the temperature detecting element detects a value of <=180 deg.C, a control mechanism 104 judges that the device is in a low temperature environment. And, the number of sheets of a transfer material supplied to a transfer region Z from supply cassettes 110, 111 per unit cycle is changed to 4 sheets."
25,35952607,en,"PROBLEM TO BE SOLVED: To provide a high speed and low power consumption single signal detection circuit (sense amplifier circuit). SOLUTION: In the sense amplifier circuit for detecting/amplifying a signal on a signal line, an inverter pair 11, 12 connecting an output of an inverter to an input of the other side inverter each other and sensing switches being first, second switches 13, 14 connected to source ends of respective inverters of the inverter pair and a constant current source 15, and that the signal line 10 is connected to the first switch, and reference potential Vref is connected to the second switch are incorporated, and the drive force of the first switch is made larger than the same of the second switch."
26,35952608,en,"PROBLEM TO BE SOLVED: To provide an image information transmitter and its function, where troublesome handling of an original is dispensed with, without deteriorating the utilizing efficiency of the transmitter when retransmitting data of the original. SOLUTION: This image information transmitter-receiver is provided with an original read means 203, an image memory 403, a communication means 603 and a main CPU 401 and is configured to interrupt reading and transmission of an original, when it detects transmission troubles and restarts the reading and transmission of the original, when the original is set again afterwards. In this case, a communication means 603 stores the number of originals whose transmission is finished, until transmission is interrupted by the transmission trouble and the number of stored originals."
27,35952609,en,"PURPOSE:To remove foreign matter sticking strongly on an image carrier by performing the rubbing of a cleaning roller against an image carrier stronger in preliminary rotation before the start of image forming operation than that after the start of the image forming operation. CONSTITUTION:The rubbing force of the elastic cleaning roller 7 is increased during the preliminary rotating operation of the image carrier 1 after a copy switch is turned on and before copying operation is started actually. The elastic cleaning roller 7 uses a roller in two-layered structure of, for example, silicone sponge as an internal layer 7a and silicon rubber as an external layer. Consequently, foreign matter sticking after the previous use of an image forming device is all removed before next operation is started and even when the device is left unused for a long time, invariably excellent cleaning operation is performed."
28,35952610,en,"PURPOSE:To lessen locational error between electrodes by using a metal material having good wettability with a prop material to the supporting parts for electrodes or the surfaces of these supporting parts. CONSTITUTION:By welding, supporting members 16 made of Covar are installed to support No.1 grid electrode 11, No.2 grid electrode 12, No.3 grid electrode 13, No.4 grid electrode 14 and embedded in a glass prop 15 and fixed to constituted an electron gun electrode structure. A good wettable 14-16 stainless steel is used to the electrodes. Thereby the locational error between the electrodes can be lessened very much because of sufficiently large values of both the welding strength of the electrodes with supporting members 16 and the embedding strength of the supporting members 16 with glass prop 15."
29,35952611,en,"PURPOSE:To enable vertical machining of a wafer to be made accurately and easily by rolling the wafer along a curved edge and utilizing the movement proper to the wafer. CONSTITUTION:A wafer 1 rotates along the curved edge and enters wafer edge guides 7 and 8 of a wafer-retainer 3. Then, the wafer 1 within the wafer edge guides 7 and 8 stops when it is located directly below an orientation flat 1a. The wafer retainer 3 which retains the wafer 1 within the wafer edge guides 7 and 8 moves toward a wafer edge sensor 5 and stops at a position where the edge of the wafer 1 is detected by a wafer edge sensor 4. As soon as the wafer retainer 3 stops, a spin chuck 5 is extended toward the rear surface of the wafer 1 and performs vacuum suction of the wafer 1. Then, while retaining the wafer 1, the spin chuck 5 returns to its original position and performs a specified machining of the wafer 1. Thus, handling and alignment of an accurate and easy vertical type wafer can be performed."
30,35952612,en,"PURPOSE:To conduct locus control not affected by source voltage drop or coil temperature rise by operating maximum controlled variables from the detected excitation current of a coil and from predetermined maximum limit values of duty. CONSTITUTION:Controlled variables Qa, Qb operated by a controlled variable arithmetic unit 1 are limited by a controlled variable limiter 2 without changes in mutual relation so as not to exceed QaMAX, QbMAX, and then converted into coil control currents 1a, 1b by a current controller 3 and into duties Da, Db by a duty converter 4. Coil average excitation currents ia, ib are detected by current detectors 7a, 7b and inputted to duty conversion coefficient arithmetic units 8a, 8b, where duty conversion coefficients Ka, Kb are operated. Maximum controlled variable arithmetic units 9a, 9b operate maximum controlled variables QaMAX QbMAX using the conversion coefficients Ka, Kb."
31,35952613,en,"PURPOSE:To easily and accurately control a condition of a handrail through an output by generating the output by detecting means in accordance with depth of a crack in the case that it is provided in the handrail. CONSTITUTION:A lighting device 9 and detecting means 10, 11 of a passenger conveyer handrail managing device are energized to control a condition of a handrail 6, and no output is generated by the detecting means 10, 11 unless a crack is provided in an edge part 6C of the handrail 6. However, when the crack is generated, by aging the handrail 6 deteriorated, to provide a depth of reaching the first predetermined value, for instance, 5mm, the first kind annunciator 13 is actuated through a control unit 12 by the outputs of the detecting means 10, 11 to annunciate a problematical crack position from a lengthwise reference point of the handrail 6, exchange preparation of the handrail 6, etc. When the depth of the generated crack reaches the second predetermined value, for instance, 10mm, the second kind annunciator 14 is actuated through the control unit 12 by the outputs of the detecting means 10, 11 to annunciate a hazardous crack position and hazard generation. An emergency stop means 15 is energized with this annunciation to stop a passenger conveyer by emergency."
32,35952614,en,"PURPOSE:To provide an electrophotographic sensitive body with high sensitivity and durability. CONSTITUTION:A photosensitive layer containing an azo compound expressed by the formula I is formed on a conductive base member. In the formula I, R<1> represents a hydrogen atom, halogen atom, alkyl group, alkoxyl group, aryl group, amino group, cyano group, nitro group, sulfoxide group; and A a coupler residue having acceptor properties."
33,35952615,en,"PURPOSE:To position a work by pressing the work and a jig to a base table under steady force, and to-miniaturize a pressing device and to make it thinner. CONSTITUTION:In a no-load state shown in a figure (a), the flow path of the second hose joint is closed by the second solenoid operated valve to feed compressed air through the first solenoid operated valve from the first hose joint into a pressing device. Since the compressed air pushes the second rubber film 4 from the inside of the pressing device, as shown in a pressurized state in a figure (b), a iron piece 5 leaves a magnet 6, and the second rubber film 4 expands outward. Next when the flow path of the first hose joint 10 is closed by the first solenoid operated valve to stop the flowing in of the compressed air, and the flow path of the second hose joint 11 is opened outward by the second solenoid operated valve, the compressed air flows outward, and the pressing device therefore returns to the no-load state shown in the figure (a)."
34,35952616,en,"PURPOSE:To learn the procedure of basic operation easily for understanding by forming a musical sound based on a parameter inputted according to the instruction by a parameter instruction means from a parameter input means. CONSTITUTION:A display device 16 performing a display of various kinds of parameters of an electronic instrument 10 and the display, etc., of the internal condition of the electronic instrument 10 is provided, and is connected to a bus 30 through a display interface 17. Further, this instrument is provided with a key board 18 and various kinds of panel switches 20 provided on an operation panel as a means for inputting various kinds of instructions, and are connected to the bus 30 through a key board interface 19 and a panel switch interface 21. Then, the electronic instrument 10 is provided with the parameter instruction means instructing the parameter to be set next among plural parameters. Thus, an operator sets plural parameters successively according to the instructions, and the operator learns the basic operation procedure."
35,35952617,en,"PURPOSE: To remove excess developer blown off to be gathered at a terminal part on a side in the moving direction of a photosensitive material with air from a nozzle. CONSTITUTION: The photosensitive material 2 on which a latent image is recorded is wound round a rotating drum 6 and integrally moved with the drum 6. In the case of developing the recorded latent image to a visible image with the developer supplied from a developing electrode 31a in a developing device 31 made proximate to the drum 6, the excess developer adhering to the material 2 is removed with air blowing out from the nozzle 48a of a wind pressure device 48 provided on a downstream side in the moving direction of the material 2 from the developing device 3 in this device. After finishing the development of the material 2, the excess developer blown off to be gathered at the terminal part with the air from the nozzle 48a is removed by providing an excess developer absorbing member 22 wound in a roll state on an upstream side in the moving direction of the material 2 from the nozzle 48a so that it can be taken up, and bringing a part of the absorbing member 22 into contact with the terminal part on the side in the moving direction of the material 2."
36,35952618,en,"PROBLEM TO BE SOLVED: To provide the image display device by which an image with excellent vertical resolution is displayed without line flicker when a scanning converter is provided. SOLUTION: A scanning converter 7 converts an input video signal into a standard signal. A double speed conversion circuit 1 applies double speed conversion to the video signal. A line Wobbling circuit 3 generates a line Wobbling signal in which a level is alternately changed for each line of a double speed video signal. A field Wobbling circuit 8 generates a field Wobbling signal in which a level is alternately changed for each field of the input video signal. A synthesis circuit 9 synthesizes the line Wobbling signal and a field Wobbling signal. When the input video signal is a standard signal, a switch 10 is thrown to the position of a terminal (a), and when the input video signal is a nonstandard signal, the switch 10 is thrown to the position of a terminal (b) to drive a vertical deflection auxiliary coil 6."
37,35952619,en,"PROBLEM TO BE SOLVED: To prevent each key from being twisted when assembled. SOLUTION: The keyboard device is equipped with a key 1, a swing support means 2 which is formed integrally with the key and has flexibility and supports the key so that the key freely swings in a key depression direction, a reaction force generating means 10 which gives the key a reaction force corresponding to a key pressing force, a movable-side upper-limit restricting means 13 which is provided to the key, and a fixed-side upper-limit restricting means 14 which restricts the upper limit of the movement of the key when the movable-side upper-limit restricting means abuts. The movable-side upper-limit restricting means 13 abuts against only one place of the fixed-side upper-limit restricting means 14 and the abutting position P between the movable-side upper-limit restricting means and fixed-side upper-limit restriction means is positioned almost on the straight line connecting the reaction force giving position R of the reaction force generating means 10 and the position Q of the swing support means 2 or its prolongation when viewed from above."
38,35952620,en,"PROBLEM TO BE SOLVED: To prevent the deterioration of fixation property and the damage of a means such as a heating means or a pressurizing body arranged around a nip part caused by the excessive temperature rise of the heating means from occurring by switching the temperature to a fixing temperature decided according to the difference of power supply quantity or an interpaper temperature. SOLUTION: At the time of a continuous printing onto plural transfer materials, a wave number (We) submitted to the supply of power to a heating resistor from an external power source when the leading edge part of the optional transfer material arrives at a position on the upstream side in the carrying direction of the transfer material from the nip part and a wave number (Wf) submitted to the supply of power to the heating resistor from the external power source when the leading edge part arrives at a position on the downstream side in the carrying direction of the transfer paper from the nip part are monitored. By collating an obtained value ΔW1(=|We-Wf|) with a control table, the fixing temperature with respect to the transfer material is decided. In accordance with the switching of the fixing temperature, the interpaper temperature is switched according to the obtained value ΔW1 besides. Thus, a heater, a pressure roller and the like are prevented from being damaged."
39,35952621,en,"PROBLEM TO BE SOLVED: To provide an antifungal coating using a newfound antifungal component, and to provide antifungal and antibacterial coating using a mixture of the antifungal component with an antibacterial component. SOLUTION: This antifungal coating comprises 100 pts.wt. of a coating- forming component and >=1 pt.wt. of a tea saponin ingredient. The antifungal and antibacterial coating is prepared by adding tea catechin or tea tannin to the antifungal coating. The coatings are extremely highly safe because of using the medicinally active ingredients of tea having widely drunk as one of favorite foods as the antifungal component or the antifungal and antibacterial component."
40,35952622,en,"PROBLEM TO BE SOLVED: To provide a frequency synthesizer that can keep a spurious characteristic excellent, reduce a lockup time and decrease the power consumption. SOLUTION: An accumulator 201 accumulates data K (K is an integer) by each clock and outputs a carryout signal on the occurrence of overflow. A random signal generator 202 outputs a random signal for each clock. An adder 203 adds the carryout signal and the random signal to data M (M is integer) to change a frequency division ratio at random thereby converting spurious radiation into a white noise."
